Parameter,Lower Bound,Upper Bound,,,,,,
reversalEx,0.5,10,,,dt,2.56,c,3
reversalIn,-10,-0.5,,,max freq,53.0516477,,
reversalMod,-0.5,0,,,,,,
freqFast,0.3,53.0516477,,,,,,
ampCenBO,0,1,,,,,,
stdCenBO,1,100,,,,,,
ampSurBO,0,1,,,,,,
stdSurBO,1,100,,,,,,
freqBOFast,0.3,53.0516477,,,,,,
freqBOSlow,0.3,53.0516477,,,,,,
ampCenL,0,1,,,,,,
stdCenL,1,100,,,,,,
ampSurL,0,1,,,,,,
stdSurL,1,100,,,,,,
freqL,0.3,53.0516477,,,,,,
ampCenBF,0,1,,,,,,
stdCenBF,1,100,,,,,,
ampSurBF,0,1,,,,,,
stdSurBF,1,100,,,,,,
freqBFFast,0.3,53.0516477,,,,,,
freqBFSlow,0.3,53.0516477,,,,,,
conductanceLEO,0,10,,,,,,
freqEO,0.3,53.0516477,,,,,,
biasEO,-1,1,,,,,,
conductanceBODO,0,10,,,,,,
freqDO,0.3,53.0516477,,,,,,
biasDO,-1,1,,,,,,
conductanceDOSO,0,10,,,,,,
freqSO,0.3,53.0516477,,,,,,
biasSO,-1,1,,,,,,
conductanceLEF,0,10,,,,,,
freqEF,0.3,53.0516477,,,,,,
biasEF,-1,1,,,,,,
conductanceBFDF,0,10,,,,,,
freqDF,0.3,53.0516477,,,,,,
biasDF,-1,1,,,,,,
conductanceDFSF,0,10,,,,,,
freqSF,0.3,53.0516477,,,,,,
biasSF,-1,1,,,,,,
conductanceEOOn,0,10,,,,,,
conductanceDOOn,0,10,,,,,,
conductanceSOOn,0,10,,,,,,
conductanceEFOff,0,10,,,,,,
conductanceDFOff,0,10,,,,,,
conductanceSFOff,0,10,,,,,,
freqOn,0.3,53.0516477,,,,,,
biasOn,-1,1,,,,,,
freqOff,0.3,53.0516477,,,,,,
biasOff,-1,1,,,,,,
gainHorizontal,0.5,2,,,,,,
freqHorizontal,0.3,53.0516477,,,,,,
biasHorizontal,-1,1,,,,,,
